num	date	startTime	id	userAgent	endTime	duration	quizAttemptN	instrReadingTimes	quickReadingPageN	hiddenCount	hiddenDurations	comments	serious	maximized	problems	gender	age	inView	viewportW	viewportH
1	2023-06-06	14:01:31	63609	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15	14:04:58	3.4418333333333333	1	{"0":4.748,"1":5.912,"2":7.328,"3":8.729,"4":10.169,"5":11.145,"6":15.462,"7":23.696,"8":27.279,"9":28.945,"10":29.962,"11":31.012,"12":44.121,"13":48.213,"14":51.795,"15":53.112,"16":66.815,"17":106.216,"18":107.645}	0	0		nope	1	1	no	F	20	true	1440	900
2	2023-06-06	15:41:31	60982	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36	16:03:33	22.032433333333334	1	{"0":1.41,"1":25.127,"2":26.241,"3":30.369,"4":33.086,"5":38.908,"6":46.887,"7":56.491,"8":59.383,"9":65.027,"10":66.216,"11":67.942,"12":80.53,"13":83.554,"14":88.229,"15":91.257,"16":101.823,"17":441.827,"18":444.304}	0	0		Nothing at the moment!	1	1	Nope! Everything was clear and simple!	F	20	true	1800	1126
3	2023-06-06	16:12:26	63614	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15	16:35:59	23.554716666666668	2	{"0":79.303,"1":80.137,"2":80.786,"3":81.769,"4":83.469,"5":84.319,"6":85.402,"7":85.935,"8":87.035,"9":88.253,"10":89.085,"11":89.602,"12":98.054,"13":98.918,"14":100.085,"15":100.619,"16":103.836,"17":447.451,"18":448.881,"-1":77.12}	0	0		Nope. 	1	1	it was all clear!	M	19	true	1440	900
6	2023-06-06	19:51:12	62971	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15	20:13:30	22.307233333333333	1	{"0":2.23,"1":3.975,"2":43.528,"3":53.608,"4":55.984,"5":63.899,"6":71.978,"7":79.154,"8":81.168,"9":86.502,"10":88.209,"11":89.782,"12":103.405,"13":105.673,"14":107.915,"15":110.732,"16":119.489,"17":468.751,"18":470.423}	0	0		nope	1	1	how did they want us to think of the triangles?	F	19	true	1470	920
7	2023-06-06	20:25:08	63631	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36	20:53:22	28.243466666666666	1	{"0":4.273,"1":6.205,"2":9.055,"3":12.639,"4":14.722,"5":17.639,"6":21.189,"7":24.705,"8":25.905,"9":32.188,"10":33.772,"11":34.772,"12":50.359,"13":52.439,"14":59.255,"15":60.705,"16":69.157,"17":410.235,"18":412.182}	0	0		It was very interesting to see how I began to perceive the triangles as people in a certain setting. It became like a story that I wanted to keep watching to see what happens next. 	1	1	No it was very clear and I liked how we got flexibility to explain our answer. 	F	19	true	1440	900
8	2023-06-06	20:55:08	63629	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15	21:21:13	26.08085	1	{"0":1.163,"1":2.809,"2":6.967,"3":14.221,"4":38.449,"5":45.405,"6":53.774,"7":61.361,"8":64.379,"9":75.123,"10":78.655,"11":80.457,"12":92.865,"13":98.433,"14":103.837,"15":106.905,"16":120.962,"17":460.573,"18":464.708}	0	0		No	1	1	It was just confusing at times what to look for in the triangles	M	21	true	1366	1024
9	2023-06-06	21:14:21	63557	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15	21:48:20	33.98685	1	{"0":4.057,"1":11.735,"2":17.448,"3":24.373,"4":37.003,"5":44.724,"6":49.304,"7":63.965,"8":66.091,"9":76.52,"10":82.353,"11":83.897,"12":97.504,"13":100.939,"14":103.86,"15":105.935,"16":119.63,"17":485.645,"18":558.001}	0	0		I may have written circle instead of triangle for the first couple of answers, but that is because I had a mix up. The first scenario I saw, if I remember correctly, was an encircling scenario, and the word circle remained salient in my mind. Nevertheless, I answered truthfully to the behaviors I witnessed and did not write random answers. The whole process of completing this experiment was easy and at no point in time did I ever feel confused as to what to do. 	1	1	Everything was clear. I had no problems. 	M	26	true	1440	900
12	2023-06-06	21:36:19	62470	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36	22:00:35	24.266333333333332	1	{"0":1.293,"1":2.241,"2":3.452,"3":5.189,"4":6.593,"5":7.21,"6":8.581,"7":9.285,"8":10.423,"9":11.795,"10":13.231,"11":13.961,"12":30.677,"13":33.596,"14":34.359,"15":36.201,"16":58.347,"17":448.906,"18":450.121}	0	0		n/a	1	1	n/a	F	21	true	1440	900
11	2023-06-06	21:34:21	63627	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36	22:08:12	33.848816666666664	3	{"0":178.678,"1":179.576,"2":180.18,"3":181.192,"4":182.142,"5":182.878,"6":183.709,"7":184.194,"8":184.86,"9":186.242,"10":187.009,"11":187.727,"12":196.797,"13":197.576,"14":198.342,"15":199.625,"16":211.443,"17":528.026,"18":530.46,"-1":177.559}	0	0		A very interesting experiment! Love it!	1	1	Everything is perfectly fine	F	22	true	1440	900
10	2023-06-06	21:22:24	63333	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36	22:09:23	46.9719	1	{"0":7.261,"1":10.8,"2":13.089,"3":34.356,"4":39.916,"5":48.371,"6":54.713,"7":61.271,"8":62.483,"9":74.518,"10":76.102,"11":77.287,"12":102.465,"13":104.231,"14":107.81,"15":109.288,"16":115.764,"17":463.663,"18":465.028}	0	0		Thank you!	1	1	I feel like the way I answered the short answer prompts (Task 2) changed greatly as I got more familiar with it over time. My early answers may have been a lot less detailed, while my later answers may have focused too much on the image that I painted in my head. <br /><br />Also, near the beginning of Task 2, I was trying to figure out how to perfectly match one action word to each triangle movie, so I tried not to reuse the words. However, I realized halfway through that I wouldn't be able to remember the words I already used. It might help to have more than 27 actions, and/or a prompt that let's us know that it's fine to repeat words!	M	21	true	1504	1003
